ROW_ID,conversion
0,0.0401605
1,4.8772923e-05
2,0.10778364
3,0.00011003971
4,0.14042665
5,0.004834743
6,3.4078526e-05
7,0.0423815
8,0.26667383
9,8.0581965e-05
10,7.573998e-05
11,0.11563643
12,0.13521412
13,0.028748097
14,0.24954133
15,3.133885e-05
16,0.2949033
17,7.1693605e-05
18,6.6896944e-05
19,7.578781e-05
20,0.1400376
21,0.10394936
22,0.25149316
23,4.775828e-05
24,7.0271024e-05
25,4.1996118e-05
26,0.08267345
27,9.722697e-05
28,0.066897236
29,0.11197445
30,3.257282e-05
31,0.10867654
32,5.195182e-05
33,0.10634672
34,0.030181112
35,0.5310731
36,0.044167437
37,0.07198317
38,7.16694e-05
39,0.08522482
40,0.036854547
41,5.352414e-05
42,0.00012844862
43,0.04675618
44,0.042327385
45,0.045418866
46,0.11639084
47,0.058169514
48,0.06743611
49,7.2632705e-05
50,0.021808274
51,0.06639522
52,6.6667424e-05
53,6.2714265e-05
54,0.19103736
55,5.6377048e-05
56,0.0712394
57,5.78998e-05
58,0.50306726
59,8.9761044e-05
60,0.095667325
61,3.119614e-05
62,0.054331977
63,0.14026967
64,0.00012328978
65,6.994196e-05
66,8.606727e-05
67,0.03957957
68,0.16587315
69,0.22736064
70,7.113789e-05
71,6.39413e-05
72,4.155848e-05
73,0.07786908
74,5.0232215e-05
75,0.6414127
76,0.046268843
77,6.81458e-05
78,0.039902262
79,0.04724823
80,3.759401e-05
81,3.9801806e-05
82,0.12744518
83,0.040083084
84,8.1205646e-05
85,9.414742e-05
86,5.5553362e-05
87,5.741962e-05
88,0.20669693
89,0.018343445
90,0.03272731
91,0.22345841
92,0.10190951
93,0.12480143
94,0.042493768
95,0.025270166
96,0.00012275357
97,6.3210864e-05
98,9.903877e-05
99,0.029611904
100,0.112584405
101,0.13522057
102,0.17053384
103,5.4789754e-05
104,7.278927e-05
105,0.031681582
106,0.022065263
107,0.26116374
108,0.07373279
109,0.07113122
110,0.017807357
111,3.6468624e-05
112,0.18568921
113,0.00012413891
114,0.04973073
115,0.062128287
116,3.661886e-05
117,0.12536934
118,0.22628956
119,0.123610206
120,0.28833154
121,0.092122726
122,6.4503016e-05
123,9.158312e-05
124,4.0414114e-05
125,0.077678494
126,8.287326e-05
127,0.058373485
128,5.4089636e-05
129,0.042956818
130,4.8688853e-05
131,8.258942e-05
132,0.22625855
133,0.23830411
134,0.02587588
135,0.09647176
136,1.7231787e-05
137,0.31343243
138,4.216635e-05
139,5.307229e-05
140,0.5439094
141,6.9389105e-05
142,5.9920887e-05
143,0.19035774
144,0.3125789
145,0.053407766
146,0.08250811
147,8.182587e-05
148,7.993747e-05
149,0.012568937
150,2.8139431e-05
151,4.68379e-05
152,0.041948255
153,0.10513905
154,7.129761e-05
155,0.10675632
156,0.026618399
157,0.14978872
158,0.041472726
159,0.031028805
160,0.233058
161,0.03399917
162,0.07431984
163,0.0696531
164,0.23704486
165,0.00011812662
166,0.1813394
167,0.5164054
168,7.262716e-05
169,0.080860354
170,0.23455153
171,0.07570676
172,7.9724385e-05
173,3.4941386e-05
174,5.7442187e-05
175,7.138259e-05
176,0.00010337018
177,7.160232e-05
178,7.7235025e-05
179,0.04260078
180,0.00013291945
181,0.12242366
182,9.81563e-05
183,0.00029196628
184,0.056103785
185,0.04840294
186,0.13537334
187,4.8323836e-05
188,3.0151481e-05
189,1.7938539e-05
190,2.9722392e-05
191,8.3562234e-05
192,4.6907902e-05
193,0.0043248176
194,5.5327295e-05
195,0.11400106
196,0.021000287
197,0.03748803
198,0.042621043
199,0.10077701
200,0.03911246
201,0.02323171
202,3.2441196e-05
203,8.312575e-05
204,0.013938247
205,4.651599e-05
206,0.36950764
207,0.043819327
208,0.063814886
209,2.9094592e-05
210,6.66467e-05
211,0.00010475264
212,0.07490076
213,0.13288467
214,4.3882763e-05
215,0.009759559
216,0.028292598
217,0.00029488205
218,0.063796096
219,0.23632315
220,0.19013365
221,0.07092364
222,7.1979324e-05
223,0.18086998
224,5.2566233e-05
225,9.117366e-05
226,0.043588087
227,0.00010116929
228,4.342964e-05
229,4.9456117e-05
230,0.27991006
231,5.7572317e-05
232,0.064678565
233,0.00011796262
234,7.577509e-05
235,0.08623941
236,3.759068e-05
237,0.0243084
238,4.8518286e-05
239,5.9523194e-05
240,9.014241e-05
241,0.07699143
242,5.1216903e-05
243,8.3414714e-05
244,0.00023745067
245,0.06508041
246,0.11004763
247,5.0123836e-05
248,0.038958378
249,0.29799047
250,0.3270847
251,0.06268168
252,0.10456695
253,6.741342e-05
254,0.0001619766
255,0.22222604
256,0.022803525
257,0.03155197
258,3.468678e-05
259,0.11134187
260,0.103674136
261,5.232946e-05
262,0.27646852
263,0.024657277
264,5.0125793e-05
265,0.08529235
266,6.750651e-05
267,0.0441534
268,0.00013528399
269,5.8848003e-05
270,0.05367912
271,8.216435e-05
272,0.2986862
273,0.13872738
274,0.07274602
275,6.2347535e-05
276,6.798579e-05
277,3.3594293e-05
278,0.023526125
279,8.496338e-05
280,3.8583723e-05
281,0.12268998
282,5.531896e-05
283,0.00010355744
284,6.105733e-05
285,9.0325855e-05
286,0.06401143
287,5.1076575e-05
288,7.049909e-05
289,0.55546343
290,9.2922106e-05
291,0.08210169
292,0.7986047
293,0.19969144
294,7.6892866e-05
295,6.902382e-05
296,0.102212824
297,0.14872059
